"cod_ibge","nome","classe","subjacente","proc_grau","bens_industriais","source"
"1116048","1116048.Caldo concentrado","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1116071","1116071.Tempero misto","alimento_domic",NA,"industr",FALSE,"BCB RI Dez/2019 Tab.5"
"1116095","1116095.Molho de soja","alimento_domic",NA,"industr",FALSE,"auto: item-prefix inheritance"
"1201001","1201001.Refeição","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201003","1201003.Lanche","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201005","1201005.Café da manhã","alimento_fora",TRUE,NA,FALSE,"auto: item-prefix inheritance"
"1201007","1201007.Refrigerante e água mineral","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201009","1201009.Cafezinho","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201048","1201048.Cerveja","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201049","1201049.Chopp","alimento_fora",TRUE,NA,FALSE,"auto: item-prefix inheritance"
"1201051","1201051.Outras bebidas alcoólicas","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201052","1201052.Vinho","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201061","1201061.Doces","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"1201088","1201088.Sorvete","alimento_fora",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2101001","2101001.Aluguel residencial","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2101002","2101002.Condomínio","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2101004","2101004.Taxa de água e esgoto","monitorado",NA,NA,FALSE,"BCB RI Dez/2019 Tab.5"
"2101012","2101012.Mudança","servico",TRUE,NA,FALSE,"BCB RI Dez/2019 Tab.5"
