date,series_id,value,release_date,vintage_date
2008-04-01,1,0.606478,2026-07-17,2026-07-17
2008-05-01,1,0.842089,2026-07-17,2026-07-17
2008-06-01,1,1.0077,2026-07-17,2026-07-17
2008-07-01,1,0.525101,2026-07-17,2026-07-17
2008-08-01,1,-0.399156,2026-07-17,2026-07-17
2008-09-01,1,-0.138302,2026-07-17,2026-07-17
2008-10-01,1,-1.010133,2026-07-17,2026-07-17
2008-11-01,1,-1.91529,2026-07-17,2026-07-17
2008-12-01,1,-1.034247,2026-07-17,2026-07-17
2009-01-01,1,0.435242,2026-07-17,2026-07-17
2009-02-01,1,0.497293,2026-07-17,2026-07-17
2009-03-01,1,0.243175,2026-07-17,2026-07-17
2009-04-01,1,0.249637,2026-07-17,2026-07-17
2009-05-01,1,0.288876,2026-07-17,2026-07-17
2009-06-01,1,0.858989,2026-07-17,2026-07-17
2009-07-01,1,-0.158559,2026-07-17,2026-07-17
2009-08-01,1,0.224285,2026-07-17,2026-07-17
2009-09-01,1,0.062548,2026-07-17,2026-07-17
2009-10-01,1,0.09631,2026-07-17,2026-07-17
2009-11-01,1,0.070775,2026-07-17,2026-07-17
2009-12-01,1,-0.17612,2026-07-17,2026-07-17
2010-01-01,1,0.341747,2026-07-17,2026-07-17
2010-02-01,1,0.024921,2026-07-17,2026-07-17
2010-03-01,1,0.410628,2026-07-17,2026-07-17
2010-04-01,1,0.173688,2026-07-17,2026-07-17
2010-05-01,1,0.07752,2026-07-17,2026-07-17
2010-06-01,1,-0.097627,2026-07-17,2026-07-17
2010-07-01,1,0.021104,2026-07-17,2026-07-17
2010-08-01,1,0.138066,2026-07-17,2026-07-17
2010-09-01,1,0.058174,2026-07-17,2026-07-17
2010-10-01,1,0.12452,2026-07-17,2026-07-17
2010-11-01,1,0.042065,2026-07-17,2026-07-17
2010-12-01,1,0.171844,2026-07-17,2026-07-17
2011-01-01,1,0.476323,2026-07-17,2026-07-17
2011-02-01,1,0.493137,2026-07-17,2026-07-17
2011-03-01,1,0.975107,2026-07-17,2026-07-17
2011-04-01,1,0.643943,2026-07-17,2026-07-17
2011-05-01,1,0.470419,2026-07-17,2026-07-17
2011-06-01,1,-0.107097,2026-07-17,2026-07-17
2011-07-01,1,0.088605,2026-07-17,2026-07-17
2011-08-01,1,0.275759,2026-07-17,2026-07-17
2011-09-01,1,0.151846,2026-07-17,2026-07-17
2011-10-01,1,-0.206268,2026-07-17,2026-07-17
2011-11-01,1,-0.084356,2026-07-17,2026-07-17
2011-12-01,1,-0.246652,2026-07-17,2026-07-17
2012-01-01,1,0.440019,2026-07-17,2026-07-17
2012-02-01,1,0.440297,2026-07-17,2026-07-17
2012-03-01,1,0.759456,2026-07-17,2026-07-17
2012-04-01,1,0.302103,2026-07-17,2026-07-17
2012-05-01,1,-0.117348,2026-07-17,2026-07-17
2012-06-01,1,-0.14664,2026-07-17,2026-07-17
2012-07-01,1,-0.162979,2026-07-17,2026-07-17
2012-08-01,1,0.556516,2026-07-17,2026-07-17
2012-09-01,1,0.446221,2026-07-17,2026-07-17
2012-10-01,1,-0.038893,2026-07-17,2026-07-17
2012-11-01,1,-0.473809,2026-07-17,2026-07-17
2012-12-01,1,-0.269306,2026-07-17,2026-07-17
2013-01-01,1,0.29573,2026-07-17,2026-07-17
2013-02-01,1,0.819003,2026-07-17,2026-07-17
2013-03-01,1,0.261451,2026-07-17,2026-07-17
2013-04-01,1,-0.103964,2026-07-17,2026-07-17
2013-05-01,1,0.178041,2026-07-17,2026-07-17
2013-06-01,1,0.239971,2026-07-17,2026-07-17
2013-07-01,1,0.0394,2026-07-17,2026-07-17
2013-08-01,1,0.120293,2026-07-17,2026-07-17
2013-09-01,1,0.1163,2026-07-17,2026-07-17
2013-10-01,1,-0.257528,2026-07-17,2026-07-17
2013-11-01,1,-0.204242,2026-07-17,2026-07-17
2013-12-01,1,-0.008581,2026-07-17,2026-07-17
2014-01-01,1,0.372025,2026-07-17,2026-07-17
2014-02-01,1,0.369791,2026-07-17,2026-07-17
2014-03-01,1,0.644004,2026-07-17,2026-07-17
2014-04-01,1,0.329675,2026-07-17,2026-07-17
2014-05-01,1,0.349261,2026-07-17,2026-07-17
2014-06-01,1,0.186213,2026-07-17,2026-07-17
2014-07-01,1,-0.039019,2026-07-17,2026-07-17
2014-08-01,1,-0.167051,2026-07-17,2026-07-17
2014-09-01,1,0.075257,2026-07-17,2026-07-17
2014-10-01,1,-0.251228,2026-07-17,2026-07-17
2014-11-01,1,-0.539942,2026-07-17,2026-07-17
2014-12-01,1,-0.56701,2026-07-17,2026-07-17
2015-01-01,1,-0.470589,2026-07-17,2026-07-17
2015-02-01,1,0.434304,2026-07-17,2026-07-17
2015-03-01,1,0.595172,2026-07-17,2026-07-17
2015-04-01,1,0.203287,2026-07-17,2026-07-17
2015-05-01,1,0.509723,2026-07-17,2026-07-17
2015-06-01,1,0.350287,2026-07-17,2026-07-17
2015-07-01,1,0.006705,2026-07-17,2026-07-17
2015-08-01,1,-0.141628,2026-07-17,2026-07-17
2015-09-01,1,-0.155676,2026-07-17,2026-07-17
2015-10-01,1,-0.044968,2026-07-17,2026-07-17
2015-11-01,1,-0.211068,2026-07-17,2026-07-17
2015-12-01,1,-0.34171,2026-07-17,2026-07-17
2016-01-01,1,0.16531,2026-07-17,2026-07-17
2016-02-01,1,0.082308,2026-07-17,2026-07-17
2016-03-01,1,0.4306,2026-07-17,2026-07-17
2016-04-01,1,0.474107,2026-07-17,2026-07-17
2016-05-01,1,0.404579,2026-07-17,2026-07-17
2016-06-01,1,0.328437,2026-07-17,2026-07-17
2016-07-01,1,-0.161814,2026-07-17,2026-07-17
2016-08-01,1,0.091843,2026-07-17,2026-07-17
2016-09-01,1,0.2404,2026-07-17,2026-07-17
2016-10-01,1,0.124675,2026-07-17,2026-07-17
2016-11-01,1,-0.155546,2026-07-17,2026-07-17
2016-12-01,1,0.032732,2026-07-17,2026-07-17
2017-01-01,1,0.582773,2026-07-17,2026-07-17
2017-02-01,1,0.314612,2026-07-17,2026-07-17
2017-03-01,1,0.08128,2026-07-17,2026-07-17
2017-04-01,1,0.296553,2026-07-17,2026-07-17
2017-05-01,1,0.085472,2026-07-17,2026-07-17
2017-06-01,1,0.090711,2026-07-17,2026-07-17
2017-07-01,1,-0.068992,2026-07-17,2026-07-17
2017-08-01,1,0.299445,2026-07-17,2026-07-17
2017-09-01,1,0.529491,2026-07-17,2026-07-17
2017-10-01,1,-0.063204,2026-07-17,2026-07-17
2017-11-01,1,0.002432,2026-07-17,2026-07-17
