series_id,country,subject,indicator,series_name,data_type,frequency,description,haver_code,bls_code
28,US,Prices,CPI,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) (Index),NSA,M,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_services_ex_shelter_pubtrans_medical
29,US,Prices,CPI,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) (Index),SA,M,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_services_ex_shelter_pubtrans_medical
30,US,Prices,CPI,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) (Index),Weight,M,CPI-U: Core Services ex Shelter/PubTrans/Medical (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:core_services_ex_shelter_pubtrans_medical
31,US,Prices,CPI,CPI-U: Core Services ex Volatiles (Custom) (Index),NSA,M,CPI-U: Core Services ex Volatiles (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_services_ex_volatiles
32,US,Prices,CPI,CPI-U: Core Services ex Volatiles (Custom) (Index),SA,M,CPI-U: Core Services ex Volatiles (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:core_services_ex_volatiles
33,US,Prices,CPI,CPI-U: Core Services ex Volatiles (Custom) (Index),Weight,M,CPI-U: Core Services ex Volatiles (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:core_services_ex_volatiles
34,US,Prices,CPI,CPI-U: All Items ex OER (Custom) (Index),NSA,M,CPI-U: All Items ex OER (Custom) - Indice [NSA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:cpi_ex_oer
35,US,Prices,CPI,CPI-U: All Items ex OER (Custom) (Index),SA,M,CPI-U: All Items ex OER (Custom) - Indice [SA] (rebased jan/2000=100) - custom aggregation (Laspeyres algebra),,CPIUS:cpi_ex_oer
36,US,Prices,CPI,CPI-U: All Items ex OER (Custom) (Index),Weight,M,CPI-U: All Items ex OER (Custom) - Weight derivado (algebra Laspeyres da recipe),,CPIUS:cpi_ex_oer
37,US,Prices,CPI,CPI-U: Electricity (Index),NSA,M,CPI-U: Electricity - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:electricity
38,US,Prices,CPI,CPI-U: Electricity (Index),SA,M,CPI-U: Electricity - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:electricity
39,US,Prices,CPI,CPI-U: Electricity (Index),Weight,M,"CPI-U: Electricity - Weight (Relative Importance, Table 6 BLS)",,CPIUS:electricity
40,US,Prices,CPI,CPI-U: Energy (Index),NSA,M,CPI-U: Energy - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy
41,US,Prices,CPI,CPI-U: Energy (Index),SA,M,CPI-U: Energy - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy
42,US,Prices,CPI,CPI-U: Energy (Index),Weight,M,"CPI-U: Energy - Weight (Relative Importance, Table 6 BLS)",,CPIUS:energy
43,US,Prices,CPI,CPI-U: Energy Commodities (Index),NSA,M,CPI-U: Energy Commodities - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy_commodities
44,US,Prices,CPI,CPI-U: Energy Commodities (Index),SA,M,CPI-U: Energy Commodities - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy_commodities
45,US,Prices,CPI,CPI-U: Energy Commodities (Index),Weight,M,"CPI-U: Energy Commodities - Weight (Relative Importance, Table 6 BLS)",,CPIUS:energy_commodities
46,US,Prices,CPI,CPI-U: Energy Services (Index),NSA,M,CPI-U: Energy Services - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy_services
47,US,Prices,CPI,CPI-U: Energy Services (Index),SA,M,CPI-U: Energy Services - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:energy_services
48,US,Prices,CPI,CPI-U: Energy Services (Index),Weight,M,"CPI-U: Energy Services - Weight (Relative Importance, Table 6 BLS)",,CPIUS:energy_services
49,US,Prices,CPI,CPI-U: Food (Index),NSA,M,CPI-U: Food - Indice [NSA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food
50,US,Prices,CPI,CPI-U: Food (Index),SA,M,CPI-U: Food - Indice [SA] (rebased jan/2000=100) - BLS API v2 direto,,CPIUS:food
